product_upc,product_name,item_brand_name,MARKETING_COPY,product_image_url
609332833142,e.l.f. 83314 Light Powder Blush Palette 1 ea,e.l.f.,"Blush & glow. E.L.F. Clean. This blush palette holds 4 gorgeous shades ranging from matte to shimmer finishes that you can mix and match for custom color. The sheer, but buildable powder formula allows you to create your perfect cheek flush look. Cruelty free.",https://target.scene7.com/is/image/Target/GUEST_28c8f54f-6c5c-4c34-a1fb-e9751914ce22
307817154415,Amlactin Ultra Smoothing Intensely Hydrating Cream 4.9 oz,Amlactin,"Alpha-hydroxy therapy. Softens rough, bumpy areas. Gently exfoliates, restores. With triple-action ultraplex. Fragrance-free. Dermatologist recommended. Clinically proven. Say goodbye to those dry, pesky areas with daily use! Our patended formula which includes Ultraplex gently exfoliates and is clinically proven to deeply hydrate. Helps smooth rough, bumpy dry skin. amlactin.com. Reduce. Reuse. Recycle.",https://target.scene7.com/is/image/Target/GUEST_7ba246e6-b181-404f-a5c8-e5c08a051cfd
28400171410,SOUR CREAM & ONION FLAVORED POPCORN,SMARTFOOD,"No artificial colors or flavors. No artificial preservatives. 14g of whole grains per serving (48g of whole grains recommended daily). Clearly this popcorn has been enlarged to show texture. Sour cream and onion together forever. Air-popped popcorn tossed in the flavors of creamy sour cream oniony, and yum. Who comes up with these flavors? Geniuses. That’s who. www.smartfood.com. Facebook. Instagram. (at)smartfoodpopcorn. Questions or comments 1-888-924-5654 weekdays 9:00am-4:3pm central time.",https://target.scene7.com/is/image/Target/GUEST_995d1616-b05d-4cfe-b7ac-f4bf3962d8ac
41333415017,AA ALKALINE BATTERIES,DURACELL,New. Power Boost ingredients.,https://target.scene7.com/is/image/Target/GUEST_4097dcc8-ed64-40a3-ac9b-863f57b9c1c9
858847000284,ORGANIC CHIA SEEDS,NAVITAS ORGANICS,"Per 12 g Serving: 60 calories; fiber (11% DV). USDA Organic. Gluten free. Vegan. Certified Organic by Control Union Certifications CU 802080. Good source of fiber. Non GMO project verified. nongmoproject.org. Non-GMO. New look. Superfood: Premium. Plant-based. Nutrient-dense essentials. Plant-based superfood. Plant omegas. Versatile super seed. Omega-3's (contains 2254 mg of omega-3 fatty acids per serving). Superfood Promise: Using the most health-boosting plants in the world, we promise our superfoods are organic, nutrient-dense & handled with care at every step. Chia: Mayan word for strength. 8x more omega-3's than salmon (100 g of chia seeds contains 25.5 g of polyunsaturated fats vs. 100 g of Atlantic salmon contains 3.25 g of polyunsaturated fats [USDA  Natural Nutrient Database for Standard Reference Release 26]). The ultimate superfood add to everthing. Stir. Blend. Bake. Go after each day with passion and drive. Super-simple, super-nutritious superfoods give you the energy your need to live each day to the fullest. In fact, Navitas (Nuh-vee-tus) is Latin for energy. We search the globe for the highest-quality organic superfoods to keep you energized. What's more, we work hard to power the positive in all we do as a company, celebrating healthy foods and supporting sustainable causes. Navitas. Live life positive. Positive mind. Positive vibes. Positive life. navitasorganics.com. Certified B Corporation. BPA free. Product of Mexico/Argentian/Paraguay.",https://target.scene7.com/is/image/Target/GUEST_64a00514-09b2-4a78-8348-39c396094102
86800556374,Kids Wet Skin Beach & Pool SPF 70+ Sunscreen Spray,Neutrogena,Other Information: Protect this product from excessive heat and direct sun. May stain some fabrics. No. 1 dermatologist recommend brand. Neutrogena Wet Skin Kids Sunscreen superior protection you can apply directly to wet skin. Helioplex spectrum UVA/UVB. www.neutrogena.com. Questions? Call toll-free 800-299-4786 or 215-273-8755 (collect). www.neutrogena.com.,https://target.scene7.com/is/image/Target/GUEST_9cefb251-7e65-46a9-90c9-98d62f83e035
850015736001,"Kids' Allergy Diphenhydramine HCI Antihistamine Liquid, Agave Syrup",GENEXA,Other Information: Store between 20-25 degrees C (68-77 degrees F).,https://target.scene7.com/is/image/Target/GUEST_e306a347-7a6f-4a2b-8e47-796027501de1
13562495399,WHITE CHEDDAR SQUARES ORGANIC BAKED SNACK CRACKERS,ANNIE'S HOMEGROWN,"Annie's Organic White Cheddar Squares are packed with signature white cheddar goodness! Plus, these cheese crackers are made with real cheese and organic wheat without any of the scary artificial stuff you find in the snack aisle. Enjoy cheesy, crispy, craveable yum for your kids' snacks, office snacks and more.",https://target.scene7.com/is/image/Target/GUEST_27c32264-1eac-4261-8517-aa0d37942cb3
28400647267,"Rice, Peas, Black Beans Rice & Veggie Crisps",Off the Eaten Path,"Rice, peas, black beans. Rice & veggie crisps. Made with real veggies. No artificial colors, flavors or preservatives. Gluten free. Non GMO Project verified. nongmoproject.org. Hungry for a new adventure? Try veggie crisps - deliciously different from chips. Packed with rice, peas and black beans. You'll discover a tasty new take on real veggies! Keep feeding your curious. offtheeatenpathsnacks.com. Questions or comments? 1-844-683-7284 Mon-Fri 9:00 AM to 4:30 PM CT.",https://target.scene7.com/is/image/Target/GUEST_086407a8-d7e8-408c-9c4f-51ee740c07f0
37000921868,CLINICAL + STRENGTH STRESS RESPONSE ALUMINUM ZIRCONIUM OCTACHLOROHYDREX GLY ANTIPERSPIRANT CLEAR GEL,SECRET,"Never let them see you sweat! Formulated with skin care ingredients and provitamin B5, Secret Clinical Strength + provitamin B5 combines Secret's clinically-proven sweat protection technology with skin-soothing conditioners that care for your skin. With 3X more sweat protection*   *vs. what’s required of an ordinary antiperspirant",https://target.scene7.com/is/image/Target/GUEST_1ad27f98-5d2b-457a-b008-4b859b528d3e
